"name","address","www","email","phone","rector","sun","week","fest","url"
"W parafii mieszka","","","","biuro 61/428.40.80","ks. Jan KASPROWICZ","7.00, 9.00, 10.15 (konwentualna), 12.00, 15.00, 18.00; kaplica pw. św. Floriana we wsi Obora: 10.30, kości&oacute;ł pw. św. Piotra i Pawła: 11.00","6.30, 12.00, 18.00; kości&oacute;ł pw. św. Piotra i Pawła: 7.30","7.00, 12.00, 16.30, 18.00; kości&oacute;ł pw. św. Piotra i Pawła: 7.30; kaplica pw. św. Floriana we wsi Obora: 16.00","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_gnieznienski_i/gniezno_par._przy_bazylice_prymasowskiej_pw._wniebowziecia_nmp.html"
"Parafia pw. bł. Bogumiła","62‑200 Gniezno , ul. Cicha 3 ","","bogumilgniezno@gmail.com","61/426.56.30 ","ks. Krzysztof WALKOWSKI","7.00, 8.30, 10.00, 11.15, 12.30, 16.00, 18.00","7.00, 8.00, 17.30, 18.30","7.00, 8.30, 10.00, 16.00, 18.30","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_gnieznienski_ii/gniezno_par._pw._bl._bogumila.html"
"Parafia pw. bł. Jolenty","62‑200 Gniezno, ul. Wierzbiczany 10","www.jolenta.pl/","jolent@gniezno.opoka.org.pl","61/428.19.28","ks. Ryszard BALIK","7.00, 8.00, 9.30, 11.00, 12.15, 18.00;&nbsp;","8.30, 18.00","8.00, 10.00, 17.00, 18.00","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_gnieznienski_ii/gniezno_par._pw._bl._jolenty.html"
"Parafia pw. bł. Michała Kozala BM","62‑200 Gniezno, ul. E. Orzeszkowej 22d","","parafia@kozalgniezno.pl","/ 61/426.27.49","ks. Krzysztof STANULA CSMA","7.30, 9.30, 11.00, 14.00, 18.00","7.00, 18.00","7.00, 10.30, 17.00, 18.00","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_gnieznienski_i/gniezno_par._pw._bl._michala_kozala_bm.html"
"Parafia pw. bł. Radzyma Gaudentego","62‑200 Gniezno, Plac im. ks. kan. Zbigniewa Kapturczaka 1","www.radzym.pl/","blazej-60@o2.pl","61/426.66.33 ","ks. Andrzej SZCZĘSNY","7.00, 8.30, 10.00, 11.30, 13.00,15.00, 18.00;","7.00, 18.00","7.00, 10.00, 16.30, 18.00","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_gnieznienski_ii/gniezno_par._pw._bl._radzyma_gaudentego.html"
"Parafia pw. Chrystusa Wieczystego Kapłana","62‑200 Gniezno, ul. 28 Grudnia 12","","andrzejgrzelak@wp.pl","","ks. Andrzej GRZELAK","7.00, 8.30, 10.00, 11.15, 12.30, 18.00","7.00, 18.00","7.00, 8.30, 16.30, 18.00","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_gnieznienski_i/gniezno_par._pw._chrystusa_wieczystego_kaplana.html"
"Parafia pw. Matki Zbawiciela","62‑200 Gniezno , ul. ks. Ludwiczaka 20","parafiadalki.pl/","kmrozek@box43.pl","61/425.98.96","ks. Konstanty MROZEK","8.00, 9.30, 11.00, 17.00; lipiec-sierpień: 8.00, 9.30, 11.00","poniedziałki, środy, piątki, soboty: 8.00, 18.00; wtorki, czwartki: 17.00, 18.00;","8.00, 10.00, 18.00","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_gnieznienski_i/gniezno_par._pw._matki_zbawiciela.html"
"Parafia pw. MB Miłosierdzia","62‑200 Gniezno, ul. Graniczna 19","","","","ks. Piotr DWOREK","7.30, 9.00, 11.00, 17.00","17.00, 18.00","9.00, 17.00, 18.00","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_gnieznienski_i/gniezno_par._pw._mb_milosierdzia.html"
"Parafia pw. NMP Kr&oacute;lowej Polski&nbsp; - Wojskowa","","","","","ks. ppłk. Piotrowi GIBASIEWICZ","9.00, 10.00; Witkowo: 16.00","7.30, 17.00","7.30, 9.00, 17.00","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_gnieznienski_i/gniezno_par._pw._nmp_krolowej_polski__wojskowa.html"
"Parafia pw. św. Maksymiliana Kolbego","62‑200 Gniezno, ul. Kwiatowa 7","www.maksymiliankolbe.pl/","ksoj@poczta.onet.pl","61/426.48.54,","ks. Jacek ORLIK","8.00, 9.30, 11.00, 12.30, 18.00; maj-wrzesień: 20.00","9.00, 18.00; maj: 20.00","8.00, 9.30, 11.00, 18.00","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_gnieznienski_ii/gniezno_par._pw._sw._maksymiliana_kolbego.html"
"Parafia pw. św. Michała Archanioła","62‑200 Gniezno, ul. św. Michała 1 ","www.michalarchaniol.pl/","","61/426.15.51","ks. Waldemar RADECKI","8.00, 10.00, 11.30, 13.00, 17.00","8.00, 17.00","8.00, 10.00, 17.00","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_gnieznienski_ii/gniezno_par._pw._sw._michala_archaniola.html"
"Parafia pw. św. Wawrzyńca","62‑200 Gniezno , ul. św. Wawrzyńca 8","www.wawrzyniecgniezno.pl/","sacerdos02@gmail.com","61/426.15.57","ks. Jan SZREJTER","7.30, 9.00, 10.15, 11.30, 12.30, 19.00","7.30, 8.00, 17.30, 18.00, 18.30","","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_gnieznienski_i/gniezno_par._pw._sw._wawrzynca.html"
"Parafia pw. Świętej Tr&oacute;jcy - Fara","62‑200 Gniezno, ul. Farna 6","www.fara.gniezno.pl/","maciejl@autograf.pl","61/426.15.55 ","ks. Maciej LISIECKI","7.00, 8.30, 10.00, 11.15, 12.30, 18.30","7.00, 18.30","","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_gnieznienski_i/gniezno_par._pw._swietej_trojcy__fara.html"
"Parafia pw. Wniebowzięcia NMP","Sanktuarium Pani Gniezna, 62‑200 Gniezno, ul. Franciszkańska 12","","","","o. Jacek KORSAK OFM Conv","7.00, 8.30, 10.00 (suma), 11.30 (dla dzieci), 16.00, 18.00","6.30, 8.00 (tylko w czwartki z nabożeństwem do Pani Gniezna), 9.00, 16.30 (w I piątki miesiąca i święta zniesione), 18.00","","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_gnieznienski_i/gniezno_par._pw._wniebowziecia_nmp.html"
"Parafia pw. MB Szkaplerznej","62‑590 Golina, ul. Wolności 2a","parafiagolina.xorg.pl/joomla/","","/ kancelarii i proboszcza: 63/241.80.14","a: 63/241.80.14","7.30, 9.30, 11.30, 16.00, 18.00","","","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_golinski/golina_par._pw._mb_szkaplerznej.html"
"Parafia pw. św. Stanisława Bp.","62-291 Gołaszewo 44","","","","ks. Tomasz ŁAJCA","9.00, 11.00","18.00","18.00","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_klecki/golaszewo_par._pw._sw._stanislawa_bp..html"
"Święto patronalne:","","","","","ks. Piotr Jan RUSIN","8.00, 10.30","czas letni: 17.00; czas zimowy: 16.00","10.30, 17.00","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_zninski/gorzyce_par._pw._wszystkich_swietych_i_sw._rocha.html"
"Parafia pw. MB Kr&oacute;lowej Polski","62-425 Witkowo, Gorzykowo","","","","ks. Piotr KUNICKI","8.30, 11.00","czas letni: 19.00; czas zimowy: 17.00","9.00, 19.00 lub 17.00","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_witkowski/gorzykowo_par._pw._mb_krolowej_polski.html"
"Parafia pw. Nawiedzenia NMP","88-420 Gościeszyn, Gościeszyn 1","www.parafiagoscieszyn.pl/","","","ks. Henryk SAWIŃSKI","8.30, 11.00","czas letni: 18.30; czas zimowy: 18.00","9.00, 18.00","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_rogowski/goscieszyn_par._pw._nawiedzenia_nmp.html"
"Święto patronalne:","","","","","ks. Dariusz NOWACZYŃSKI","9.00, 11.00","czas letni: 18.30; czas zimowy: 17.00","","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_wrzesinski_ii/gozdowo_par._pw._sw._filipa_i_jakuba.html"
"Parafia pw. Świętej Tr&oacute;jcy","88-101 Inowrocław , G&oacute;ra 22","","","52/353.75.09","ks. Krzysztof ANDRZEJEWSKI","8.00, 10.00, 11.15","","","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_inowroclawski_ii/gora_par._pw._swietej_trojcy.html"
"Parafia erygowana w pierwszej połowie XIV wieku. Obecny, gotycki kości&oacute;ł wybudowano na miejscu poprzedniego, drewnianego w 1597 roku. Restaurowany po pożarze w XVIII wieku. Gruntownie odnowiony w latach 1995-1999.","Proboszcz, ks. Stanisław Wojciech MANIOS, , Święto patronalne:","","","","ks. Stanisław Wojciech MANIOS","8.15, 10.00, 11.30","czas letni: 17.00; czas zimowy: 16.00","10.00, 11.30","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_zagorowski/grabienice_par._pw._sw._katarzyny_aleksandryjskiej.html"
"&nbsp;","","","","","ks. Grzegorz KWAŚNIEWSKI","8.30, 11.00","czas letni: 18.30; czas zimowy: 17.00","9.00, 17.00","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_strzalkowski/graboszewo_par._pw._sw._malgorzaty.html"
"Parafia pw. Najświętszego Serca Pana Jezusa","62-306 Kołaczkowo , Grabowo Kr&oacute;lewskie 40","","","","ks. Paweł LEWANDOWSKI","8.00, 11.30","czas letni: 17.00, czas zimowy: 17.00/8.00","17.00/8.00","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_miloslawski/grabowo_krolewskie_par._pw._najswietszego_serca_pana_jezusa.html"
"Parafia pw. św. Katarzyny Aleksandryjskiej","62‑100 Wągrowiec, Grylewo 22","","michjoz@wp.pl","","ks. Michał JÓŹWIAK","8.30, 11.00","18.00","","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_wagrowiecki/grylewo_par._pw._sw._katarzyny_aleksandryjskiej.html"
"Parafia pw. św. Michała Archanioła","62-300 Września, Grzybowo 34","www.parafia.grzybowo.org/index.html","","61/438.16.91","ks. Rafał WOJTCZAK","8.30, 10.00, 11.15","czas letni: 18.00; czas zimowy: 17.00","18.00","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_wrzesinski_i/grzybowo_par._pw._sw._michala_archaniola.html"
"Parafia&nbsp;pw. Narodzenia NMP","","","parnarodzenianmp@gniezno.opoka.org.pl","e-mail:","ks. Andrzej SZYNDLER","9.00, 11.00","czas letni: 19.00; czas zimowy: 18.00","czas letni: 19.00; czas zimowy: 18.00","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_pobiedziski/imielno_par._pw._narodzenia_nmp.html"
"&nbsp;","","www.opatrznosc-ino.parafia.info.pl/","opatrznoscmatwy@parafia.ino.pl","52/353.72.24","ks. Adam WALENDOWSKI","7.30, 9.30, 11.00, 18.00","7.00, 18.00","7.00, 9.00, 16.00, 18.00","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_inowroclawski_i/inowroclaw__matwy_par._pw._opatrznosci_bozej.html"
"Parafia pw. św. Antoniego Padewskiego","88-100 Inowrocław 3, ul. Kujawska 1","","","","ks. Roman SZULGA","8.00, 11.00, 17.00","czas letni: 8.00 lub 18.00; czas zimowy: 8.00 lub 17.00","8.00, 18.00; czas zimowy: 17.00","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_inowroclawski_i/inowroclaw__szymborze_par._pw._sw._antoniego_padewskiego.html"
"Parafia pw. Chrystusa Miłosiernego","88-100 Inowrocław, Al. 800-lecia 23","www.chrystusmilosierny.pl/","paweli.no@gniezno.opoka.org.pl","52 352.50.50 i 607.105.050 ","ks. Paweł KOWALSKI","7.00, 9.00, 10.30, 12.00, 15.00, 19.00;&nbsp;","7.30, 15.00, 19.00; lipiec-sierpień: 15.00, 19.00","","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_inowroclawski_i/inowroclaw_par._pw._chrystusa_milosiernego.html"
"Parafia pw. Imienia NMP","88-100 Inowrocław, ul. Bp. A. Laubitza 9","www.imienia.pl/","bazylikamniejsza@gmail.com","52/357.31.31","ks. Dariusz ŻOCHOWSKI","8.00, 9.30, 11.00, 12.30, 17.00","8.00, 18.30","8.00, 10.00, 17.00, 18.30","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_inowroclawski_ii/inowroclaw_par._pw._imienia_nmp.html"
"Parafia św. Barbary i św. Maurycego &ndash; Wojskowa","88-100 Inowrocław, Al. Kopernika 16","","","52/357.39.65","ks. kapelan płk Bogdan RADZISZEWSKI","8.30, 10.00, 12.00","17.00","","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_inowroclawski_ii/inowroclaw_par._pw._sw._barbary_i_sw._maurycego__wojskowa.html"
"Parafia pw. św. Jadwigi Kr&oacute;lowej","88-100 Inowrocław, Al. Wojska Polskiego 20","www.jadwiga.parafia.info.pl/","parafia@autograf.pl","52/352.22.20","ks. Jan MAĆKOWIAK","7.00, 8.00, 9.30, 11.00, 12.30, 16.00 (20.00), 18.00","7.00, 8.00, 18.00","7.00, 8.00, 9.00, 17.00, 18.00","http://www.archidiecezja.pl/parafie/dekanaty/dekanat_inowroclawski_i/inowroclaw_par._pw._sw._jadwigi_krolowej.html"
